ticker,event_date,drug_name,nct_id,target_large_move,feat_asset_event_sequence_num,feat_asset_trial_share,feat_cash_runway_proxy,feat_company_event_sequence_num,feat_company_historical_hit_rate,feat_ctgov_asset_maturity_score,feat_ctgov_n_late_stage_trials_sponsor,feat_ctgov_pipeline_maturity_score,feat_days_to_primary_completion,feat_design_quality_score,feat_disease_molecular_heterogeneity_score,feat_enrichment_relevance_score,feat_enrollment_log,feat_heritability_proxy_score,feat_lead_asset_dependency_score,feat_log_market_cap,feat_n_trials_for_company,feat_n_unique_drugs_for_company,feat_ot_genetic_evidence_score,feat_ot_gwas_signal,feat_ot_monogenic_signal,feat_ot_n_genetic_targets,feat_ot_somatic_signal,feat_phase_num,feat_pipeline_depth_score,feat_pivotal_proxy_score,feat_regulatory_stage_score,feat_time_since_last_asset_event,feat_time_since_last_company_event,feat_trial_quality_score,feat_volatility,feat_active_not_recruiting_at_event_flag,feat_biomarker_stratified_flag,feat_blinded_flag,feat_breakthrough_flag,feat_cns_flag,feat_completed_at_event_flag,feat_controlled_flag,feat_fast_track_flag,feat_has_predictive_biomarker,feat_late_stage_flag,feat_nda_bla_flag,feat_oncology_flag,feat_open_label_flag,feat_orphan_flag,feat_primary_completion_imminent_30d,feat_primary_completion_imminent_90d,feat_primary_endpoint_known_flag,feat_priority_review_flag,feat_randomized_flag,feat_rare_disease_flag,feat_recent_ctgov_update_flag,feat_single_asset_company_flag,feat_small_trial_flag,feat_targeted_mechanism_flag,feat_targeted_therapy_exists,feat_terminated_at_event_flag,feat_withdrawn_at_event_flag,feat_mesh_level1_encoded,feat_heritability_level,feat_genetic_basis_encoded,feat_ot_genetic_basis,feat_therapeutic_superclass_CNS,feat_therapeutic_superclass_Cardiovascular,feat_therapeutic_superclass_Dermatology,feat_therapeutic_superclass_Endocrine/Metabolic,feat_therapeutic_superclass_GI/Hepatology,feat_therapeutic_superclass_Immunology,feat_therapeutic_superclass_Infectious Disease,feat_therapeutic_superclass_Musculoskeletal,feat_therapeutic_superclass_Oncology,feat_therapeutic_superclass_Other,feat_therapeutic_superclass_Respiratory,feat_genetic_basis_monogenic,feat_genetic_basis_none,feat_genetic_basis_polygenic,feat_genetic_basis_somatic,feat_genetic_basis_unknown,split
NRC,2016-10-07,Aspirin,NCT00983580,0,1,0.0059,0.1718,35,0.0,1.3841,61.0,0.6439,-1.0,1.0,0.5,0.125,4.68213122712422,0.4,0.2,2.4825877695267677,340,286,0.936072,0.0,0.936072,4,0.0,2.0,5.2638,0.0,0,109.5,43.0,1.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,-1.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,train
NRC,2016-12-08,Cisplatin,NCT01642251,0,1,0.0059,0.1718,38,0.0,1.202,61.0,0.6439,-1.0,1.0,0.6,0.1,5.056245805348308,0.4,0.2,2.4825877695267677,340,286,0.4,0.0,0.0,0,0.0,1.5,5.2638,0.0,0,109.5,25.0,1.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,-1.0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,train
RHHBY,2016-12-22,Trastuzumab,NCT01964391,0,1,0.0303,0.1718,12,0.0,2.0711,85.0,1.957,-1.0,2.0,0.6,0.35,5.1647859739235145,0.4,0.2,2.7786942532997094,132,82,0.981302,0.921351,0.981302,21,0.956429,3.0,4.7675,1.5,0,109.5,57.0,2.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,1.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,1.0,0,0.0,0.0,1.0,1.0,-1.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,train
NRC,2017-01-01,Visualase Thermal Therapy System,NCT01377753,0,1,0.0029,0.1718,40,0.0,0.3536,61.0,0.6439,-1.0,0.0,0.6,0.1,2.772588722239781,0.4,0.2,2.4825877695267677,340,286,0.4,0.0,0.0,0,0.0,2.0,5.2638,0.0,0,109.5,0.0,0.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,1.0,0.0,0,0.0,0.0,1.0,1.0,-1.0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,train
NRC,2017-03-08,Walking on a Treadmill,NCT01888939,0,1,0.0029,0.1718,42,0.0,0.0964,35.0,1.1585,-1.0,0.0,0.5,0.125,4.499809670330265,0.4,0.2,2.4825877695267677,340,286,0.4,0.0,0.0,0,0.0,1.5,5.2638,0.0,0,109.5,36.0,0.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,-1.0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,train
SNY,2017-03-18,CYD Dengue Vaccine (5 dose formulation),NCT02824198,0,1,0.0119,0.1718,4,0.0,1.1547,93.0,4.8477,-1.0,1.0,0.5,0.125,4.77912349311153,0.4,0.2,2.7786942532997094,84,72,0.4,0.0,0.0,0,0.0,2.0,4.7162,0.0,0,109.5,422.0,1.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,-1.0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,train
NVS,2017-03-28,Canakinumab,NCT01327846,0,1,0.0123,0.1718,18,0.0,8.4678,80.0,1.6226,-1.0,3.0,0.5,0.375,9.217018026729423,0.4,0.2,2.7786942532997094,163,111,0.936785,0.936785,0.0,0,0.0,3.0,4.8874,1.5,0,109.5,147.0,3.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,1.0,0,0.0,0.0,7.0,1.0,-1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
NRC,2017-03-28,AS03,NCT02921997,0,1,0.0029,0.1718,43,0.0,5.7155,49.0,1.0181,-1.0,0.0,0.5,0.125,3.4339872044851463,0.4,0.2,2.4825877695267677,340,286,0.4,0.0,0.0,0,0.0,2.0,5.2638,0.0,0,109.5,19.0,0.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,1.0,-1.0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,train
LLY,2017-05-25,LY2228820,NCT01663857,0,1,0.0081,0.1718,16,0.0,1.2247,60.0,1.2667,-1.0,1.0,0.6,0.1,4.77912349311153,0.4,0.2,2.7786942532997094,124,50,0.4,0.0,0.0,0,0.0,1.5,4.5727,0.0,0,109.5,33.0,1.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,-1.0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,train
AMGN,2017-06-15,Carfilzomib,NCT02412878,0,2,0.0444,0.1718,4,0.0,4.7434,72.0,2.1305,-1.0,3.0,0.6,0.1,6.171700597410915,0.4,0.2,2.7786942532997094,45,26,0.832644,0.832644,0.759913,1,0.827461,3.0,4.3183,1.5,0,327.0,295.0,3.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,1.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,-1.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,train
