ticker,event_date,drug_name,nct_id,target_large_move,feat_asset_event_sequence_num,feat_asset_trial_share,feat_cash_runway_proxy,feat_company_event_sequence_num,feat_company_historical_hit_rate,feat_ctgov_asset_maturity_score,feat_ctgov_n_late_stage_trials_sponsor,feat_ctgov_pipeline_maturity_score,feat_days_to_primary_completion,feat_design_quality_score,feat_enrollment_log,feat_lead_asset_dependency_score,feat_log_market_cap,feat_n_trials_for_company,feat_n_unique_drugs_for_company,feat_phase_num,feat_pipeline_depth_score,feat_pivotal_proxy_score,feat_regulatory_stage_score,feat_time_since_last_asset_event,feat_time_since_last_company_event,feat_trial_quality_score,feat_volatility,feat_active_not_recruiting_at_event_flag,feat_blinded_flag,feat_breakthrough_flag,feat_cns_flag,feat_completed_at_event_flag,feat_controlled_flag,feat_fast_track_flag,feat_has_predictive_biomarker,feat_late_stage_flag,feat_nda_bla_flag,feat_oncology_flag,feat_open_label_flag,feat_orphan_flag,feat_primary_completion_imminent_30d,feat_primary_completion_imminent_90d,feat_primary_endpoint_known_flag,feat_priority_review_flag,feat_randomized_flag,feat_rare_disease_flag,feat_recent_ctgov_update_flag,feat_single_asset_company_flag,feat_small_trial_flag,feat_targeted_therapy_exists,feat_terminated_at_event_flag,feat_withdrawn_at_event_flag,feat_mesh_level1_encoded,feat_therapeutic_superclass_CNS,feat_therapeutic_superclass_Cardiovascular,feat_therapeutic_superclass_Dermatology,feat_therapeutic_superclass_Endocrine/Metabolic,feat_therapeutic_superclass_GI/Hepatology,feat_therapeutic_superclass_Immunology,feat_therapeutic_superclass_Infectious Disease,feat_therapeutic_superclass_Musculoskeletal,feat_therapeutic_superclass_Oncology,feat_therapeutic_superclass_Other,feat_therapeutic_superclass_Respiratory,feat_genetic_basis_monogenic,feat_genetic_basis_none,feat_genetic_basis_polygenic,feat_genetic_basis_somatic,feat_genetic_basis_unknown,split
PLRX,2023-01-24,bexotegrast,NCT06097260,0,1,0.5714,3.0263,2,0.0,0.7071,6.0,2.0,802.0,4.0,5.771441123130016,0.7,1.9025467793139912,7,2,2.0,0.4394,1.0,2,244.0,210.0,5.0,5.45,0.0,1,0,0,0.0,1,0,0,0.0,1,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,train
SNY,2023-01-28,"Meningococcal polysaccharide (serogroups A,C,Y and W) tetanus toxoid conjugate vaccine",NCT04143061,0,1,0.0274,0.0653,61,0.0,5.1265,93.0,4.8477,1.0,5.0,7.192182058713246,0.2,5.070103283062297,73,64,3.0,4.6698,2.0,0,244.0,8.0,5.0,1.49,0.0,0,0,0,0.0,1,0,0,1.0,0,0,0,0,1.0,1.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,train
EQ,2023-01-30,EQU-001,NCT05473442,0,1,0.1667,0.2987,2,0.0,1.0,2.0,1.0,153.0,2.0,3.332204510175204,0.2,2.044539760392411,6,5,2.0,1.3167,0.0,0,244.0,69.0,2.0,8.82,0.0,0,0,1,0.0,1,0,0,0.0,0,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,1.0,0,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
RHHBY,2023-02-02,Atezolizumab,NCT04194203,0,11,0.0992,0.0404,107,0.0,2.4313,85.0,1.957,1.0,5.0,5.723585101952381,0.2,5.583827535327012,121,77,3.0,4.7427,2.0,0,51.0,41.0,6.0,1.53,1.0,1,0,0,0.0,1,0,1,1.0,0,1,0,0,1.0,1.0,0,0,1.0,0,0.0,0,0.0,1,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,train
BNTX,2023-02-10,BNT162b1,NCT04368728,0,1,0.0769,0.5252,9,0.0,1.0,69.0,8.5884,1.0,4.5,10.759603561374211,0.2,4.441853745887887,13,9,2.5,3.921,2.0,1,244.0,127.0,5.5,2.63,0.0,0,0,0,1.0,1,0,0,1.0,0,0,0,0,1.0,1.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,train
RHHBY,2023-02-11,Faricimab,NCT04740905,0,4,0.0496,0.0404,108,0.0,5.7092,85.0,1.957,-219.0,5.0,6.317164686747284,0.2,5.583827535327012,121,77,3.0,4.7427,3.0,2,50.0,8.0,6.0,1.65,1.0,0,0,0,0.0,1,0,0,1.0,1,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,1,0.0,0.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,train
AMGN,2023-02-15,Ustekinumab,NCT04761627,0,1,0.0244,0.0436,35,0.0,6.4615,72.0,2.1305,14.0,5.0,6.20455776256869,0.2,5.320654051367603,41,24,3.0,4.2876,2.0,0,244.0,57.0,6.0,1.96,1.0,1,0,0,0.0,1,0,0,1.0,0,0,0,0,1.0,1.0,0,0,1.0,0,0.0,0,0.0,1,0.0,0.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
SNY,2023-02-17,Fexofenadine,NCT05692154,0,1,0.0137,0.0653,62,0.0,5.0747,1.0,0.4472,26.0,3.0,4.564348191467836,0.2,5.070103283062297,73,64,3.0,4.6698,2.0,0,244.0,19.0,4.0,1.72,1.0,1,0,0,0.0,1,0,0,1.0,0,0,0,0,1.0,1.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
NKTR,2023-02-24,rezpegaldesleukin,NCT06136741,1,1,0.25,0.14,3,0.0,1.7889,42.0,5.6976,804.0,4.0,5.983936280687191,0.4,3.285557309007774,4,4,2.0,1.2438,1.5,2,244.0,300.0,5.0,5.74,0.0,1,0,0,0.0,1,0,0,0.0,1,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,1,0.0,0.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
PRAX,2023-02-28,100 mg PRAX-944,NCT05021991,0,1,0.1429,0.0642,4,0.0,1.1547,14.0,4.625,-18.0,3.0,4.897839799950911,0.2,3.9703980213907792,7,7,2.0,3.2318,0.0,0,244.0,227.0,4.0,15.66,1.0,1,0,1,0.0,1,0,0,0.0,0,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
AZN,2023-03-01,5 mg rosuvastatin calcium with a Web App (combination product),NCT04964544,0,1,0.012,0.0177,67,0.0,0.7071,69.0,1.3047,1.0,3.0,7.087573705557973,0.2,5.509413030177646,83,55,3.0,4.6101,1.5,0,244.0,63.0,3.0,2.08,0.0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,1.0,1.0,0,0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,train
PRAX,2023-03-03,ulixacaltamide (PRAX-944),NCT06087276,1,1,0.1429,0.0642,5,0.0,0.7071,14.0,4.625,-5.0,5.0,6.90875477931522,0.2,3.9703980213907792,7,7,3.0,3.2318,3.0,2,244.0,2.0,6.0,9.03,0.0,1,0,1,0.0,1,0,0,1.0,1,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
CYTK,2023-03-04,CK-3773274 (5 - 15 mg),NCT04219826,0,1,0.1429,0.116,3,0.0,2.0412,33.0,5.292,-3.0,2.0,4.574710978503383,0.2,3.881230543345268,7,5,2.0,3.7167,0.0,0,244.0,480.0,3.0,4.52,1.0,1,0,0,0.0,1,0,0,0.0,0,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,1,0.0,0.0,7.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
ARMP,2023-03-06,AP-PA02,NCT04596319,0,1,0.4,0.0378,1,0.0,1.1547,10.0,2.8868,-81.0,2.0,3.4011973816621555,0.7,2.592953571547866,5,2,1.5,0.4394,0.0,0,244.0,127.0,3.0,9.47,1.0,1,0,0,0.0,1,0,1,0.0,0,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,1.0,1,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,train
ACRS,2023-03-06,zunsemetinib,NCT05279417,1,1,0.3333,0.3084,3,0.0,1.633,34.0,5.8362,184.0,3.0,5.529429087511423,0.2,2.4927603890268375,6,5,2.0,0.7167,1.0,2,244.0,696.0,4.0,4.9,0.0,1,0,0,0.0,1,0,0,0.0,1,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,1,0.0,0.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
PTGX,2023-03-07,JNJ-2113,,1,1,0.2,0.0986,4,0.0,0.0,11.0,2.0166000000000004,-5.0,3.0,5.257481808475758,0.4,3.760150964513522,5,4,2.0,1.2438,0.0,0,244.0,315.0,4.0,5.34,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,train
LLY,2023-03-08,Solanezumab,NCT02008357,0,1,0.009,0.0073,88,0.0,3.0509,60.0,1.2667,-70.0,5.0,7.064759027791802,0.2,5.996687893411713,111,45,3.0,4.5315,2.0,0,244.0,70.0,5.0,2.26,1.0,0,0,1,0.0,1,0,0,1.0,0,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
PFE,2023-03-09,LGX818,NCT01543698,0,2,0.0182,0.0953,93,0.0,7.1937,62.0,0.9808,1.0,0.0,5.247024072160486,0.2,5.196479615197434,110,88,1.5,4.7955,0.0,0,2310.0,96.0,0.0,1.73,1.0,0,0,0,0.0,0,0,1,0.0,0,1,1,0,1.0,1.0,0,0,0.0,0,0.0,0,0.0,1,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,train
PFE,2023-03-16,Multivalent Group B streptococcus vaccine,NCT04766086,0,1,0.0091,0.0953,94,0.0,1.7889,62.0,0.9808,43.0,4.0,5.726847747587197,0.2,5.196479615197434,110,88,2.0,4.7955,0.0,0,244.0,6.0,5.0,2.04,1.0,1,0,0,0.0,1,0,0,0.0,0,0,0,0,0.0,1.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,train
ABBV,2023-03-18,Risankizumab,NCT04713592,0,6,0.099,0.0128,84,0.0,6.929,75.0,2.6877,34.0,4.0,5.1647859739235145,0.2,5.613161422822089,101,56,3.0,4.6172,2.0,0,116.0,87.0,5.0,1.8,1.0,1,0,0,0.0,1,0,0,1.0,0,0,0,0,0.0,1.0,0,0,1.0,0,0.0,0,0.0,1,0.0,0.0,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,train
PACB,2023-03-23,Meplazumab for injection,NCT05813587,0,1,1.0,0.5511,3,0.0,2.2136,6.0,2.2981,176.0,4.0,4.804021044733257,0.7,2.705179244873676,3,2,3.0,2.2394,2.0,0,244.0,110.0,5.0,7.55,0.0,1,0,0,0.0,1,0,0,1.0,0,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,train
KALA,2023-03-27,KPI-012,NCT05727878,0,3,1.0,0.0609,3,0.0,0.7071,1.0,0.7071,918.0,3.0,4.6443908991413725,1.0,2.539452491549461,5,1,2.0,0.2773,1.5,2,-1.0,-1.0,3.0,15.17,0.0,0,0,0,0.0,1,0,0,0.0,1,0,0,0,0.0,0.0,0,0,1.0,0,0.0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,train
KALA,2023-03-27,KPI-012,NCT05727878,0,1,1.0,0.0609,1,0.0,0.7071,1.0,0.7071,918.0,3.0,4.6443908991413725,1.0,2.539452491549461,5,1,2.0,0.2773,0.0,0,244.0,127.0,3.0,15.17,0.0,0,0,0,0.0,1,0,0,0.0,0,0,0,0,0.0,0.0,0,0,1.0,0,0.0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,train
KALA,2023-03-27,KPI-012,NCT05727878,0,2,1.0,0.0609,2,0.0,0.7071,1.0,0.7071,918.0,3.0,4.6443908991413725,1.0,2.539452491549461,5,1,2.0,0.2773,1.5,2,-1.0,-1.0,3.0,15.17,0.0,0,0,0,0.0,1,0,0,0.0,1,0,0,0,0.0,0.0,0,0,1.0,0,0.0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,train
MRNA,2023-03-27,mRNA-1011.1,NCT05827068,0,1,0.1,0.277,5,0.0,0.7071,69.0,8.2207,239.0,4.0,6.54965074223381,0.2,4.320802426839049,10,7,1.5,3.8318,0.0,0,244.0,87.0,4.0,3.91,0.0,0,0,0,0.0,1,0,0,0.0,0,0,1,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,train
VKTX,2023-03-28,VK2735,NCT05203237,1,1,0.75,0.1805,1,0.0,1.633,7.0,2.5298,588.0,2.0,4.532599493153256,0.7,3.5922211842264415,4,2,1.0,0.4394,0.0,0,244.0,127.0,3.0,9.33,0.0,1,0,0,0.0,1,0,0,0.0,0,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,train
ALDX,2023-03-30,ADX-629,NCT05392192,0,5,0.2778,0.2292,14,0.0,2.846,35.0,5.9167,15.0,2.0,3.951243718581427,0.2,2.5165353738957994,18,6,2.0,3.7784,0.0,0,304.0,169.0,3.0,5.56,0.0,1,0,0,0.0,1,0,0,0.0,0,0,0,0,1.0,1.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,train
IFRX,2023-04-05,vilobelimab,NCT06703073,1,2,0.5,0.7127,5,0.0,3.3282,75.0,6.4036,-5.0,4.0,6.398594934535208,0.4,1.7944880466591695,6,3,2.0,1.1545,1.5,2,455.0,455.0,4.0,7.69,0.0,0,0,0,0.0,1,0,0,0.0,1,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,train
SANA,2023-04-13,UP421,NCT06239636,1,1,1.0,0.1365,1,0.0,0.0,2.0,1.0206,-5.0,0.0,1.0986122886681098,1.0,3.0497605517624757,2,1,0.5,0.2773,0.0,0,244.0,127.0,0.0,6.2,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,train
PCVX,2023-04-17,24 valent pneumococcal conjugate vaccine,NCT05266456,1,1,0.3333,0.1741,1,0.0,3.4017,8.0,3.3333,-96.0,4.0,6.728628613084702,0.4,3.952550293898202,3,3,1.5,0.5545,0.0,0,244.0,127.0,4.0,4.39,0.0,0,0,0,1.0,1,0,0,0.0,0,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,train
SABS,2023-04-18,SAB-185,NCT04518410,1,1,0.5,0.5681,2,0.0,0.8944,49.0,1.0181,-375.0,4.5,8.305236829492593,0.4,2.290479813330673,4,3,2.5,1.7545,1.0,0,244.0,556.0,4.5,11.25,1.0,0,0,0,0.0,1,0,0,1.0,0,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,train
DRUG,2023-04-18,trifluridine/tipiracil,NCT03869892,1,1,0.3333,0.1085,1,0.0,6.2343,60.0,7.5065,-657.0,5.0,6.75343791859778,0.4,2.9140256516963285,3,3,3.0,1.7545,3.5,3,244.0,127.0,5.0,8.14,0.0,0,0,0,1.0,1,0,1,1.0,1,0,1,0,0.0,0.0,0,1,1.0,0,0.0,0,0.0,1,0.0,0.0,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,train
RLAY,2023-04-18,RLY-2608,NCT06982521,1,1,1.0,0.3118,1,0.0,1.0,2.0,1.4289,1840.0,5.0,6.293419278846481,1.0,3.250005028486896,1,1,3.0,0.8773,1.5,0,244.0,127.0,5.0,6.98,0.0,0,0,0,0.0,1,0,1,1.0,0,1,1,0,0.0,0.0,0,0,1.0,0,0.0,1,0.0,1,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,train
IDYA,2023-04-24,darovasertib,NCT05987332,1,1,1.0,0.2261,1,0.0,2.0412,6.0,3.3204,1364.0,4.5,6.042632833682381,1.0,3.4514179729892613,1,1,2.5,0.8773,1.5,1,244.0,127.0,4.5,5.16,0.0,0,0,0,0.0,1,0,0,1.0,0,1,0,0,0.0,0.0,0,0,1.0,0,0.0,1,0.0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,train
BMY,2023-04-24,nivolumab,NCT03138512,0,4,0.5,0.084,98,0.0,1.8571,68.0,1.4923,158.0,5.0,7.403670290012373,0.2,5.103854670626923,106,33,3.0,4.4105,1.5,0,228.0,117.0,6.0,1.66,1.0,1,0,0,0.0,1,0,0,1.0,0,1,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,1,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,train
MRK,2023-04-26,Pembrolizumab,NCT04003636,0,33,0.35,0.0476,112,0.0,1.3562,67.0,1.2566,-131.0,5.0,6.975413927455952,0.2,5.485908161342839,140,55,3.0,4.6101,2.0,0,97.0,97.0,6.0,1.72,1.0,1,0,0,0.0,1,0,0,1.0,0,1,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,1,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,train
IONS,2023-04-26,Inotersen,NCT04136184,0,2,0.1429,0.2037,9,0.0,2.2678,75.0,6.7612,-14.0,4.0,5.1298987149230735,0.2,4.118734158631171,14,10,3.0,3.9592,3.0,2,956.0,300.0,4.0,3.34,1.0,0,0,1,0.0,1,0,0,1.0,1,0,1,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,1,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
SABS,2023-04-26,SAB-185,NCT04518410,0,2,0.5,0.5681,3,0.5,0.8944,49.0,1.0181,-383.0,4.5,8.305236829492593,0.4,2.290479813330673,4,3,2.5,1.7545,1.5,0,7.0,7.0,4.5,15.21,1.0,0,0,0,0.0,1,0,0,1.0,0,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,train
TVTX,2023-05-01,sparsentan,NCT03762850,0,1,0.5,0.1211,2,1.0,2.4121,12.0,4.375,99.0,5.0,6.008813185442595,0.7,3.4257623933840105,2,2,3.0,1.0394,3.0,2,244.0,2426.0,6.0,3.87,1.0,1,0,0,0.0,1,0,0,1.0,1,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,1,0.0,0.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
INKT,2023-05-04,botensilimab,NCT03860272,0,1,0.3333,0.2782,1,0.0,4.116,46.0,7.6814,621.0,1.0,6.214608098422191,0.7,1.7109631189952756,3,2,1.0,0.4394,0.0,0,244.0,127.0,1.0,18.77,0.0,0,0,0,0.0,0,0,1,0.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,1,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,train
DERM,2023-05-10,DFD-29,NCT05296629,0,1,0.5,0.0916,1,0.0,1.2247,8.0,2.4537,52.0,5.0,5.780743515792329,0.7,2.4340896384178907,2,2,3.0,1.6394,2.0,0,244.0,127.0,6.0,9.21,1.0,1,0,0,0.0,1,0,0,1.0,0,0,0,0,0.0,1.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,train
AVTX,2023-05-11,AVTX-002,NCT05288504,0,1,0.8333,0.3444,1,0.0,0.5774,11.0,2.6383,1.0,2.0,4.5217885770490405,0.7,2.510545010206612,6,2,2.0,0.4394,0.0,0,244.0,127.0,3.0,9.87,1.0,1,0,0,0.0,1,0,0,0.0,0,0,0,0,1.0,1.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,train
