ticker,event_date,drug_name,nct_id,target_large_move,feat_asset_event_sequence_num,feat_asset_trial_share,feat_cash_runway_proxy,feat_company_event_sequence_num,feat_days_to_primary_completion,feat_design_quality_score,feat_enrollment_log,feat_lead_asset_dependency_score,feat_log_market_cap,feat_n_trials_for_company,feat_n_unique_drugs_for_company,feat_phase_num,feat_pipeline_depth_score,feat_pivotal_proxy_score,feat_regulatory_stage_score,feat_time_since_last_asset_event,feat_time_since_last_company_event,feat_trial_quality_score,feat_volatility,feat_active_not_recruiting_flag,feat_blinded_flag,feat_breakthrough_flag,feat_cns_flag,feat_completed_flag,feat_fast_track_flag,feat_late_stage_flag,feat_nda_bla_flag,feat_oncology_flag,feat_open_label_flag,feat_orphan_flag,feat_ownership_low_flag,feat_primary_completion_imminent_30d,feat_primary_completion_imminent_90d,feat_randomized_flag,feat_rare_disease_flag,feat_recent_asset_event_flag,feat_recent_company_event_flag,feat_recent_completion_flag,feat_short_squeeze_flag,feat_single_asset_company_flag,feat_small_trial_flag,feat_mesh_level1_encoded,feat_therapeutic_superclass_CNS,feat_therapeutic_superclass_Cardiovascular,feat_therapeutic_superclass_Dermatology,feat_therapeutic_superclass_Endocrine/Metabolic,feat_therapeutic_superclass_GI/Hepatology,feat_therapeutic_superclass_Immunology,feat_therapeutic_superclass_Infectious Disease,feat_therapeutic_superclass_Musculoskeletal,feat_therapeutic_superclass_Oncology,feat_therapeutic_superclass_Other,feat_therapeutic_superclass_Respiratory,feat_event_proximity_bucket_future_far,feat_event_proximity_bucket_future_near,feat_event_proximity_bucket_just_completed,feat_event_proximity_bucket_past,feat_event_proximity_bucket_unknown,feat_completion_recency_bucket_far_180_plus,feat_completion_recency_bucket_imminent_0_30,feat_completion_recency_bucket_medium_91_180,feat_completion_recency_bucket_near1_90,feat_completion_recency_bucket_past,feat_completion_recency_bucket_unknown,split
VKTX,2025-08-19,VK2735,NCT06068946,1,3,0.75,0.2674,4,-539.0,3.0,5.176149732573829,0.7,3.45484486000851,4,2,2.0,0.4394,1.0,2,539.0,539.0,4.0,5.38,0.0,1,0,0,1.0,0,0.0,1,0,0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,val
MRK,2025-08-31,Vericiguat,NCT05093933,0,1,0.0208,0.0476,43,-284.0,5.0,8.717190933223135,0.2,5.485908161342839,48,19,3.0,4.1983,2.5,1,156.5,17.0,6.0,2.39,0.0,0,0,0,1.0,0,1.0,0,0,0,0,0.0,0.0,0.0,1.0,0,0.0,1.0,1.0,0.0,0,0.0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,val
PFE,2025-09-01,(Part C) MET097,NCT06857617,0,1,0.0417,0.0953,23,-241.0,3.0,4.795790545596741,0.2,5.196479615197434,24,21,1.5,4.2364,0.0,0,156.5,17.0,4.0,2.26,0.0,1,0,0,1.0,0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0,0.0,1.0,1.0,0.0,0,0.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,val
UTHR,2025-09-02,Tyvaso,NCT00643604,1,1,1.0,0.256,1,-5723.0,0.0,2.0794415416798357,1.0,3.096910013008056,1,1,4.0,0.8773,3.0,2,156.5,95.0,-2.0,2.27,0.0,0,0,0,0.0,0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1.0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,val
CCCC,2025-09-03,cemsidomide,NCT04756726,0,1,0.6667,0.11180000000000001,2,119.0,0.0,5.41610040220442,0.7,2.417803722639881,3,2,1.0,0.4394,0.0,0,156.5,631.0,0.0,10.25,1.0,0,0,0,0.0,0,0.0,0,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,val
SNY,2025-09-04,Amlitelimab,NCT06224348,1,1,0.0625,0.0653,13,-14.0,5.0,6.467698726104354,0.2,5.070103283062297,16,13,3.0,4.0556,3.0,2,156.5,97.0,6.0,1.6,0.0,1,0,0,1.0,0,1.0,1,0,0,0,1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0,0.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,val
REGN,2025-09-08,REGN1908,NCT06602726,0,1,0.25,0.1041,4,-121.0,3.0,4.174387269895637,0.4,4.917179797869327,4,4,3.0,1.8438,2.0,0,156.5,263.0,4.0,2.71,0.0,0,0,0,1.0,0,1.0,0,0,0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0,0.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,val
MAZE,2025-09-11,MZE782,,1,1,1.0,0.175,1,0.0,3.0,5.303304908059076,1.0,3.341197032146828,1,1,2.0,0.2773,0.0,0,156.5,95.0,4.0,7.32,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,val
CCCC,2025-09-15,cemsidomide,NCT04756726,1,2,0.6667,0.11180000000000001,3,107.0,0.0,5.41610040220442,0.7,2.417803722639881,3,2,1.0,0.4394,0.0,0,12.0,12.0,0.0,6.25,1.0,0,0,0,0.0,0,0.0,0,1,1,0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,val
PALI,2025-09-17,PALI-2108,NCT07428096,0,6,1.0,0.0197,6,135.0,0.0,1.9459101490553132,1.0,2.4217684012069243,7,1,1.0,0.2773,0.0,0,0.0,0.0,1.0,11.01,1.0,1,0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,1,1.0,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,val
