ticker,event_date,event_trading_date,nct_id,title,phase,sponsor,conditions,enrollment,interventions,market_cap_m,move_pct,move_2d_pct,price_before,price_after,move_class,event_type,catalyst_type,price_error
RHHBY,2025-09-03,2025-09-03,NCT05419375,Screening Study for Participants With Malignant Tumors,PHASE2,Hoffmann-La Roche,Solid Tumors,470,Screening platform,,2.49,4.19,41.02,42.04,Low,Gainer,Clinical Data,
UNCY,2024-05-29,2024-05-29,NCT06218290,A Study to Assess the Tolerability of Oxylanthanum Carbonate in Patients With Chronic Kidney Disease on Dialysis,PHASE2,"Unicycive Therapeutics, Inc",Chronic Kidney Disease Requiring Chronic Dialysis,106,Oxylanthanum Carbonate,148.9,0.48,0.12,8.36,8.4,Low,Gainer,Clinical Data,
REGN,2022-01-05,2022-01-05,NCT04159415,"Study of REGN4461, a Leptin Receptor Agonist Antibody, in Patients With Generalized Lipodystrophy",PHASE2,Regeneron Pharmaceuticals,Generalized Lipodystrophy,16,Placebo; Low-Dose REGN4461; High-dose REGN4461,,-3.52,-2.98,612.68,591.13,Low,Loser,Clinical Data,
SNDX,2025-06-30,2025-06-30,NCT05731947,Evaluation of Revumenib in Participants With Colorectal Cancer and Other Solid Tumors,PHASE1/PHASE2,Syndax Pharmaceuticals,Colorectal Cancer; Solid Tumors,42,Revumenib; Chemotherapy,1886.9,3.6,-2.43,9.04,9.36,Low,Gainer,Clinical Data,
PFE,2023-07-31,2023-07-31,NCT05375955,A Study to Learn About The Study Medicine (PF-07038124) In Patients With Mild To Moderate Atopic Dermatitis Or Mild To Severe Plaque Psoriasis.,PHASE2,Pfizer,Atopic Dermatitis; Plaque Psoriasis,263,PF-07038124 ointment 0.01%; Vehicle ointment; PF-07038124 ointment 0.03%,,-0.03,-1.28,30.76,30.75,Low,Loser,Clinical Data,
NRC,2024-07-09,2024-07-09,NCT05012098,Phase 2 Study of Bintrafusp Alfa in Recurrent/Metastatic Olfactory Neuroblastoma (BARON).,PHASE2,National Cancer Institute (NCI),Olfactory Neuroblastoma; Esthesioneuroblastoma; Neoplasm of the Nasal Cavity,11,Bintrafusp alfa/M7824; Ibuprofen; PET scan,303.8,-3.96,-2.61,21.98,21.11,Low,Loser,Clinical Data,
RHHBY,2021-12-08,2021-12-08,NCT04300647,A Study of Tiragolumab Plus Atezolizumab and Atezolizumab Monotherapy in Participants With Metastatic and/or Recurrent PD-L1-Positive Cervical Cancer,PHASE2,Hoffmann-La Roche,Cervical Cancer,172,Tiragolumab; Atezolizumab,,1.83,1.41,43.38,44.17,Low,Gainer,Clinical Data,
MRK,2025-01-30,2025-01-30,NCT04564547,"Dose Ranging, Switch Study of Islatravir (MK-8591) and Ulonivirine (MK-8507) Once-Weekly in Virologically-Suppressed Adults With Human Immunodeficiency Virus Type 1 (HIV-1) [MK-8591-013]",PHASE2,Merck Sharp & Dohme LLC,HIV-1 Infection,161,Islatravir; Ulonivirine; BIC/FTC/TAF,,0.68,0.55,94.72,95.36,Low,Gainer,Clinical Data,
SUPN,2024-01-17,2024-01-17,NCT05318937,A Study to Evaluate the Effects of SAGE-718 in Participants With Parkinson's Disease Cognitive Impairment,PHASE2,"Supernus Pharmaceuticals, Inc.",Parkinson Disease; Cognitive Dysfunction,86,SAGE-718-matching placebo; SAGE-718,3144.6,-1.97,-3.34,28.47,27.91,Low,Loser,Clinical Data,
AMGN,2022-09-01,2022-09-01,NCT04129164,A Study to Evaluate the Efficacy and Safety of VIB4920 in Participants With Sjögren's Syndrome,PHASE2,Amgen,Sjögren's Syndrome,183,VIB4920; Placebo,,2.16,0.86,215.35,220.01,Low,Gainer,Clinical Data,
NRC,2018-12-31,2018-12-31,NCT00687115,Predicting Weight Gain and Weight Loss Associated With Overeating or Fasting,PHASE2,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Obesity; Diet Therapy; Weight Loss; Weight Gain; Nutrition Therapy,83,Weight Loss; Overfeeding; Overfeeding Low Pro,303.8,-1.37,-0.96,33.67,33.21,Low,Loser,Clinical Data,
