ticker,event_date,market_cap_m,move_pct,close,volume,atr_pct,normalized_move,event_type,catalyst_type,abs_move
NUVB,2024-03-26,2026.1,28.0,2.88,5348200,9.36,2.99,Gainer,,28.0
ELTX,2024-03-18,224.2,28.0,6.4,341900,8.1,3.46,Gainer,,28.0
IRWD,2025-10-31,556.4,28.0,1.92,4360900,7.59,3.69,Gainer,,28.0
IMMX,2023-12-15,427.3,27.99,7.27,1782100,9.06,3.09,Gainer,,27.99
ANAB,2024-10-30,1539.9,-27.99,22.18,3235500,11.85,2.36,Loser,,27.99
ENTA,2025-02-13,415.0,27.99,7.5,2003100,6.47,4.32,Gainer,,27.99
TSHA,2025-03-31,1240.9,-27.98,1.39,12479400,12.0,2.33,Loser,,27.98
NERV,2023-04-11,285.6,27.98,2.31,578500,5.68,4.93,Gainer,,27.98
NAUT,2025-10-21,305.7,27.93,1.42,3144500,9.12,3.06,Gainer,,27.93
NBP,2025-06-05,378.2,27.93,2.29,3342900,10.08,2.77,Gainer,,27.93
SLDB,2023-11-15,483.8,27.93,2.72,12934700,13.15,2.13,Gainer,,27.93
ORGO,2023-09-28,407.4,27.92,3.39,3610000,5.3,5.27,Gainer,,27.92
CRNX,2025-09-26,4213.2,27.92,45.91,10218200,5.03,5.55,Gainer,,27.92
EQ,2024-06-04,110.8,-27.89,1.06,10831300,13.34,2.09,Loser,,27.89
REPL,2024-06-06,631.7,27.88,7.11,5842700,8.12,3.43,Gainer,,27.88
DWTX,2025-03-10,91.4,27.88,8.44,11037500,11.58,2.41,Gainer,,27.88
SPRB,2025-06-12,58.8,27.87,438.75,250,11.45,2.43,Gainer,,27.87
KPTI,2025-09-23,172.6,27.86,7.48,474900,8.47,3.29,Gainer,,27.86
TNXP,2025-05-27,178.6,27.86,36.99,3335300,9.67,2.88,Gainer,,27.86
SGMO,2024-03-22,160.7,-27.84,0.7,6598700,16.84,1.65,Loser,,27.84
STRO,2024-03-26,335.5,27.83,41.8,333750,8.51,3.27,Gainer,,27.83
ANVS,2023-12-27,71.0,27.82,19.62,1528600,8.54,3.26,Gainer,,27.82
DYN,2024-05-20,2571.9,27.82,35.38,4597900,5.78,4.81,Gainer,,27.82
ATAI,2024-04-03,1318.5,27.81,2.39,9942100,7.43,3.74,Gainer,,27.81
NVAX,2023-05-09,1647.7,27.79,9.52,42904800,8.44,3.29,Gainer,,27.79
GNLX,2023-03-16,133.3,27.78,24.15,285000,29.38,0.95,Gainer,,27.78
PYXS,2023-03-17,91.5,27.78,2.76,507200,9.32,2.98,Gainer,,27.78
GANX,2025-12-19,100.4,27.78,2.88,12562600,18.04,1.54,Gainer,,27.78
ARTV,2025-12-16,142.9,-27.78,4.55,3297700,15.15,1.83,Loser,,27.78
CLDX,2024-02-26,1999.5,27.76,48.23,4816400,4.66,5.96,Gainer,,27.76
DWTX,2025-03-13,91.4,-27.76,7.73,1107400,22.89,1.21,Loser,,27.76
PHVS,2023-06-26,1844.2,27.76,14.82,333300,7.3,3.8,Gainer,,27.76
NNNN,2025-06-24,1130.6,27.75,24.08,221900,7.5,3.7,Gainer,,27.75
TCRX,2023-05-01,60.2,-27.75,1.64,27900,15.01,1.85,Loser,,27.75
QURE,2025-05-06,973.6,-27.75,11.48,7895000,13.7,2.03,Loser,,27.75
NRXP,2024-04-18,55.1,-27.75,3.02,768800,20.52,1.35,Loser,,27.75
PACB,2024-10-11,507.2,27.74,1.98,24439900,7.4,3.75,Gainer,,27.74
ORIC,2023-06-26,1309.9,27.73,8.29,2021300,6.17,4.5,Gainer,,27.73
RXRX,2025-04-11,1913.0,27.72,5.76,83410800,10.77,2.57,Gainer,,27.72
IVVD,2024-08-26,476.6,27.72,1.29,1554800,9.39,2.95,Gainer,,27.72
PRTA,2023-05-03,466.7,27.71,67.06,2237500,4.24,6.53,Gainer,,27.71
PMVP,2023-08-09,90.5,27.69,8.67,1332700,6.1,4.54,Gainer,,27.69
AMLX,2025-06-24,1666.0,27.69,6.41,4216100,6.73,4.11,Gainer,,27.69
COYA,2024-10-29,103.8,-27.67,7.37,909300,13.73,2.02,Loser,,27.67
TNXP,2023-01-12,178.6,27.66,24000.0,542,,,Gainer,,27.66
RZLT,2025-04-23,307.2,27.65,3.97,16931700,9.68,2.86,Gainer,,27.65
TECX,2023-03-23,438.9,-27.64,10.68,151533,14.61,1.89,Loser,,27.64
FBRX,2025-03-19,378.6,27.64,7.02,55300,11.59,2.39,Gainer,,27.64
GOSS,2024-12-12,98.3,27.63,0.91,17089100,7.42,3.72,Gainer,,27.63
IOVA,2025-11-06,1532.3,27.62,2.31,83726600,8.29,3.33,Gainer,,27.62
ACET,2025-05-09,69.6,27.62,9.76,248538,9.7,2.85,Gainer,,27.62
AARD,2025-04-28,271.9,27.62,10.12,52100,10.78,2.56,Gainer,,27.62
VTVT,2024-03-20,150.3,27.61,26.67,52900,8.54,3.23,Gainer,,27.61
EYPT,2024-10-28,1453.7,27.58,12.12,4565900,8.36,3.3,Gainer,,27.58
TNGX,2025-06-03,1500.3,27.56,3.24,11698200,15.57,1.77,Gainer,,27.56
BYSI,2025-05-06,55.5,27.54,2.13,136000,6.67,4.13,Gainer,,27.54
HRTX,2024-03-13,218.2,27.54,3.01,17854800,7.93,3.47,Gainer,,27.54
BGM,2024-07-05,222.7,-27.53,4.08,79000,18.14,1.52,Loser,,27.53
GLTO,2024-10-07,1781.9,-27.53,8.47,236200,11.15,2.47,Loser,,27.53
MSLE,2023-09-08,256.9,27.52,4.56,958,4.25,6.48,Gainer,,27.52
RYTM,2023-08-01,6188.4,27.52,22.75,3523500,4.16,6.62,Gainer,,27.52
NRXP,2024-03-05,55.1,27.5,6.63,1313480,10.25,2.68,Gainer,,27.5
CNTB,2025-04-15,138.1,27.5,0.83,2588700,15.39,1.79,Gainer,,27.5
DERM,2024-04-04,271.7,27.49,4.36,685000,12.21,2.25,Gainer,,27.49
KALA,2025-10-20,346.3,-27.48,0.95,4533900,17.38,1.58,Loser,,27.48
BGM,2024-04-17,222.7,27.47,4.45,21920,13.63,2.02,Gainer,,27.47
CGTX,2024-12-18,96.2,27.47,0.58,289407400,16.8,1.64,Gainer,,27.47
IMTX,2023-05-02,1386.2,27.46,9.33,4916800,6.8,4.04,Gainer,,27.46
VCYT,2025-11-05,2892.4,27.46,46.04,4438700,4.2,6.54,Gainer,,27.46
IBRX,2023-04-13,9633.0,27.45,1.95,10703200,11.18,2.45,Gainer,,27.45
SRPT,2025-03-18,1756.2,-27.44,73.54,13410900,8.59,3.19,Loser,,27.44
ALDX,2023-06-21,328.5,-27.44,7.72,6443700,14.11,1.94,Loser,,27.44
KZIA,2024-07-12,95.8,-27.42,45.0,512368,19.6,1.4,Loser,,27.42
SCLX,2025-06-04,57.7,27.42,6.97,258100,9.23,2.97,Gainer,,27.42
CHRS,2023-05-09,249.6,-27.4,5.91,4866100,10.3,2.66,Loser,,27.4
PGEN,2024-12-30,1341.0,27.4,0.93,5617200,7.76,3.53,Gainer,,27.4
ALXO,2023-10-06,276.8,27.38,8.35,7085900,10.23,2.68,Gainer,,27.38
NBP,2025-06-26,378.2,-27.34,2.02,1848700,17.57,1.56,Loser,,27.34
PHAT,2024-11-12,979.8,-27.33,9.52,10386100,18.66,1.46,Loser,,27.33
NRXP,2024-04-30,55.1,-27.32,2.58,937600,20.07,1.36,Loser,,27.32
HURA,2024-06-20,94.3,27.31,9.62,1349966,17.82,1.53,Gainer,,27.31
MIRM,2024-06-17,5526.3,27.31,33.0,3672800,5.0,5.47,Gainer,,27.31
KPTI,2025-08-15,172.6,27.31,5.92,1623900,8.54,3.2,Gainer,,27.31
AMRN,2025-06-24,286.9,27.3,16.04,1160300,6.86,3.98,Gainer,,27.3
SAVA,2024-07-22,110.1,27.28,12.83,10715200,13.37,2.04,Gainer,,27.28
SGMO,2024-10-23,160.7,27.27,1.54,41997000,9.55,2.85,Gainer,,27.27
ONCY,2024-10-07,121.6,27.27,1.4,4377000,5.97,4.57,Gainer,,27.27
NGNE,2025-05-15,363.9,27.27,19.37,510700,12.19,2.24,Gainer,,27.27
NNNN,2025-10-02,1130.6,-27.26,25.4,172500,15.95,1.71,Loser,,27.26
NBP,2025-06-27,378.2,27.23,2.57,2591400,14.98,1.82,Gainer,,27.23
OCGN,2024-02-16,595.7,27.21,0.95,20049500,6.35,4.28,Gainer,,27.21
IBRX,2025-01-16,9633.0,27.2,3.04,19786200,7.94,3.42,Gainer,,27.2
MIRA,2024-10-30,53.2,27.17,2.2,16265200,9.09,2.99,Gainer,,27.17
QTI,2025-06-26,71.6,27.16,17.7,15233,9.44,2.88,Gainer,,27.16
UNCY,2023-03-09,148.9,27.16,20.6,4681530,12.14,2.24,Gainer,,27.16
CLLS,2025-01-06,390.3,27.16,2.13,826100,7.42,3.66,Gainer,,27.16
BGM,2025-09-17,222.7,27.16,10.44,87700,6.07,4.47,Gainer,,27.16
PRLD,2025-10-21,173.5,27.13,1.64,1229000,10.11,2.68,Gainer,,27.13
ADMA,2024-05-10,3715.5,27.13,8.81,11700300,3.69,7.35,Gainer,,27.13
OKYO,2023-01-13,87.8,-27.11,1.99,14100,,,Loser,,27.11
EWTX,2023-12-27,3222.6,27.1,12.1,2113000,6.62,4.1,Gainer,,27.1
GOSS,2024-06-24,98.3,27.08,0.83,4684100,8.66,3.13,Gainer,,27.08
NNNN,2025-11-03,1130.6,-27.06,12.29,73000,25.2,1.07,Loser,,27.06
IKT,2023-11-02,248.6,27.06,1.08,189400,10.15,2.67,Gainer,,27.06
