ticker,event_date,drug_name,nct_id,target_large_move,feat_asset_event_sequence_num,feat_asset_trial_share,feat_cash_runway_proxy,feat_company_event_sequence_num,feat_days_to_primary_completion,feat_pipeline_depth_score,feat_pivotal_proxy_score,feat_time_since_last_asset_event,feat_time_since_last_company_event,feat_active_not_recruiting_flag,feat_blinded_flag,feat_cns_flag,feat_completed_flag,feat_oncology_flag,feat_open_label_flag,feat_primary_completion_imminent_30d,feat_primary_completion_imminent_90d,feat_rare_disease_flag,feat_recent_asset_event_flag,feat_recent_company_event_flag,feat_recent_completion_flag,feat_small_trial_flag,feat_therapeutic_superclass_CNS,feat_therapeutic_superclass_Cardiovascular,feat_therapeutic_superclass_Dermatology,feat_therapeutic_superclass_Endocrine/Metabolic,feat_therapeutic_superclass_GI/Hepatology,feat_therapeutic_superclass_Immunology,feat_therapeutic_superclass_Infectious Disease,feat_therapeutic_superclass_Musculoskeletal,feat_therapeutic_superclass_Oncology,feat_therapeutic_superclass_Respiratory,feat_completion_recency_bucket_far_180_plus,feat_completion_recency_bucket_imminent_0_30,feat_completion_recency_bucket_medium_91_180,feat_completion_recency_bucket_near1_90,feat_completion_recency_bucket_past,feat_completion_recency_bucket_unknown,split
BMY,2021-10-12,BMS-986179,NCT02754141,0,1,0.0,0.1095,81,0.0,0.2773,0.0,155.0,6.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
NRC,2021-10-14,Aldesleukin,NCT01993719,0,2,0.0,0.1095,210,0.0,0.2773,0.0,2844.0,3.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
CMPX,2021-10-14,Psilocybin,NCT04739865,0,2,0.0,0.1095,2,0.0,0.2773,0.0,76.0,76.0,0.0,0,1,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
ABBV,2021-10-15,Upadacitinib,NCT03345849,0,8,0.0,0.1095,56,0.0,0.2773,0.0,8.0,8.0,0.0,0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,train
ALDX,2021-10-15,ADX-629,NCT04847544,0,1,0.0,0.1095,5,0.0,0.2773,0.0,155.0,33.0,0.0,1,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,train
VALN,2021-10-18,VLA2001,NCT04864561,1,1,0.0,0.1489,2,-91.0,0.2773,0.0,155.0,88.0,0.0,0,0,1.0,0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,train
BMY,2021-10-18,Apixaban,NCT02981472,0,2,0.0,0.1095,82,0.0,0.2773,0.0,103.0,6.0,0.0,0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
PFE,2021-10-19,crisaborole ointment,NCT04091087,0,1,0.0,0.1095,64,0.0,0.2773,0.0,155.0,9.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
RHHBY,2021-10-21,Bendamustine,NCT02257567,0,2,0.0,0.1095,83,0.0,0.2773,0.0,1627.0,34.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
LLY,2021-10-21,LY3556050,NCT04627038,0,1,0.0,0.1095,66,0.0,0.2773,0.0,155.0,13.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,train
NVS,2021-10-22,eltrombopag,NCT03524612,0,2,0.0,0.1095,96,0.0,0.2773,0.0,353.0,14.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,train
BIIB,2021-10-25,SAGE-217,NCT04476030,0,3,0.0,0.1095,10,0.0,0.2773,0.0,213.0,5.0,0.0,0,1,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
NRC,2021-10-25,PGT121 + VRC07-523LS,NCT03721510,0,1,0.0,0.1095,211,0.0,0.2773,0.0,155.0,11.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,train
MRK,2021-10-25,DOR/ISL,NCT04223778,0,1,0.0,0.0476,79,-47.0,0.2773,0.0,155.0,6.0,0.0,0,0,1.0,0,1,0.0,0.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,train
HRTX,2021-10-25,HTX-011,NCT03907176,0,2,0.0,0.1095,3,0.0,0.2773,0.0,322.0,116.0,0.0,0,1,1.0,0,0,1.0,1.0,0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
BMY,2021-10-26,BMS-986205,NCT02658890,0,3,0.0,0.1095,83,0.0,0.2773,0.0,312.0,8.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
MRK,2021-10-27,Letermovir,NCT03930615,0,1,0.0,0.1095,80,0.0,0.2773,0.0,155.0,2.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,train
MRNA,2021-10-28,Biological: mRNA-1273,NCT04405076,0,1,0.0,0.1095,1,0.0,0.2773,0.0,155.0,24.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,train
ACAD,2021-10-28,Trofinetide,NCT04181723,0,1,0.0,0.1095,2,0.0,0.2773,0.0,155.0,546.0,0.0,0,1,1.0,0,0,1.0,1.0,0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
VRTX,2021-10-29,LUM,NCT03601637,0,1,0.0,0.1095,8,0.0,0.2773,0.0,155.0,165.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,train
MRK,2021-10-29,V114,NCT04016714,0,10,0.0,0.1095,81,0.0,0.2773,0.0,158.0,2.0,0.0,0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,train
KRYS,2021-10-29,Topical Beremagene Geperpavec,NCT04491604,0,1,0.0,0.1095,1,0.0,0.2773,0.0,155.0,24.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,train
NRC,2021-10-30,L-alanyl-L-glutamine dipeptide,NCT04560309,0,1,0.0,0.1095,212,0.0,0.2773,0.0,155.0,5.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
IFRX,2021-10-31,IFX-1 + BSC,NCT04333420,0,1,0.0,0.1095,3,0.0,0.2773,0.0,155.0,200.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,train
LLY,2021-11-01,Tirzepatide,NCT04093752,0,8,0.0,0.1095,67,0.0,0.2773,0.0,236.0,11.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,train
AZN,2021-11-01,AZD4635,NCT04495179,0,1,0.0,0.1095,49,0.0,0.2773,0.0,155.0,6.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
TNXP,2021-11-01,TNX-102 SL,NCT04508621,0,1,0.0,0.1095,1,0.0,0.2773,0.0,155.0,24.0,0.0,0,1,1.0,0,0,1.0,1.0,0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
ABBV,2021-11-04,Venetoclax,NCT03873493,0,6,0.0,0.1095,57,0.0,0.2773,0.0,86.0,20.0,0.0,0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,train
NRC,2021-11-04,Dapivirine (DPV) Vaginal Ring (VR)-004,NCT04140266,0,1,0.0,0.1095,213,0.0,0.2773,0.0,155.0,5.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,train
MRK,2021-11-04,V114,NCT03565900,0,11,0.0,0.1095,82,0.0,0.2773,0.0,6.0,6.0,0.0,0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,train
