ticker,event_date,v_actual_date,event_type,move_pct,atr_pct,normalized_move,close,market_cap_m,nct_id,drug_name,indication,ct_conditions,ct_phase,ct_enrollment,ct_status,ct_sponsor,ct_official_title,ct_allocation,ct_primary_completion,catalyst_type,v_is_material,data_tier,match_type,days_offset,move_class_abs,stock_movement_atr_normalized,move_class_norm,target_large_move
NRC,2021-10-30,2021-10-30,Gainer,6.05,,,41.1,303.8,NCT04560309,L-alanyl-L-glutamine dipeptide,Coronary Artery Bypass; Cardiopulmonary Bypass; Coronary Artery Disease,Coronary Artery Bypass; Cardiopulmonary Bypass; Coronary Artery Disease,PHASE3,60,COMPLETED,National Cardiovascular Center Harapan Kita Hospital Indonesia,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Medium,,,0
ACAD,2021-11-01,2021-11-01,Gainer,14.37,4.01,3.59,20.53,4155.1,NCT04181723,Trofinetide,Rett Syndrome,Rett Syndrome,PHASE3,187,COMPLETED,ACADIA Pharmaceuticals Inc.,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study of Trofinetide for the Treatment of Girls and Women With Rett Syndrome",RANDOMIZED,2021-10-28,Clinical Data,True,ctgov_crossmatch,ctgov_cross_match,4,High,3.584,Medium,1
IFRX,2021-11-01,2021-11-01,Gainer,11.79,7.87,1.5,4.74,62.3,NCT04333420,IFX-1 + BSC,Severe COVID-19 Pneumonia,Severe COVID-19 Pneumonia,PHASE2/PHASE3,399,COMPLETED,InflaRx GmbH,"A Pragmatic Adaptive Randomized, Controlled Phase II/III Multicenter Study of IFX-1 in Patients With Severe COVID-19 Pneumonia",RANDOMIZED,2021-10-31,Clinical Data,True,ctgov_crossmatch,ctgov_cross_match,1,High,1.498,Noise,0
KNSA,2021-11-02,2021-11-02,Gainer,19.01,4.47,4.25,15.15,3372.2,NCT04447469,mavrilimumab,COVID,COVID,PHASE2/PHASE3,814,COMPLETED,"Kiniksa Pharmaceuticals International, plc","A Phase 2/3, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of Mavrilimumab (KPL-301) Treatment in Adult Subjects Hospitalized With Severe COVID-19 Pneumonia and Hyper-inflammation",RANDOMIZED,2021-11-12,Clinical Data,True,ctgov_crossmatch,ctgov_cross_match,10,High,4.253,Medium,1
NRC,2021-11-04,2021-11-04,Loser,-1.41,,,43.23,303.8,NCT04140266,Dapivirine (DPV) Vaginal Ring (VR)-004,HIV Infections,HIV Infections,PHASE3,394,COMPLETED,National Institute of Allergy and Infectious Diseases (NIAID),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
ABBV,2021-11-04,2021-11-04,Loser,-0.43,,,100.14,,NCT03873493,Venetoclax,Leukemia; T-cell Prolymphocytic Leukemia (T-PLL); Cancer,Leukemia; T-cell Prolymphocytic Leukemia (T-PLL); Cancer,PHASE2,14,COMPLETED,AbbVie,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
VALN,2021-11-05,2021-11-05,Loser,-11.73,9.17,1.28,40.65,963.5,NCT04956224,VLA2001,SARS-CoV-2 Virus Infection,SARS-CoV-2 Virus Infection,PHASE3,306,COMPLETED,Valneva Austria GmbH,"A Phase III, Open Label, Multicenter, Single Arm Study to Assess the Safety, Tolerability and Immunogenicity of VLA2001 in Volunteers Aged ≥ 56 Years.",NA,2021-11-10,Clinical Data,True,ctgov_crossmatch,ctgov_cross_match,5,High,1.279,Noise,0
MRK,2021-11-05,2021-11-05,Loser,-9.86,,,70.96,,NCT03664024,Pembrolizumab,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,PHASE2,118,COMPLETED,Merck Sharp & Dohme LLC,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Medium,,,0
CYTK,2021-11-08,2021-11-08,Loser,-0.24,,,41.0,7607.3,NCT03759392,Omecamtiv Mecarbil,Heart Failure With Reduced Ejection Fraction,Heart Failure With Reduced Ejection Fraction,PHASE3,276,COMPLETED,Cytokinetics,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
VALN,2021-11-10,2021-11-10,Gainer,24.29,8.56,2.84,50.25,963.5,NCT04956224,VLA2001,SARS-CoV-2 Virus Infection,SARS-CoV-2 Virus Infection,PHASE3,306,COMPLETED,Valneva Austria GmbH,"A Phase III, Open Label, Multicenter, Single Arm Study to Assess the Safety, Tolerability and Immunogenicity of VLA2001 in Volunteers Aged ≥ 56 Years.",NA,2021-11-10,Clinical Data,True,ctgov_crossmatch,ctgov_cross_match,0,Extreme,2.838,Low,0
