ticker,event_date,market_cap_m,move_pct,close,volume,atr_pct,normalized_move,event_type,catalyst_type
ANVS,2020-07-07,71.0,76.56,6.78,47607800,12.68,6.04,Gainer,
MSLE,2019-07-30,256.9,76.19,17.76,41,2.91,26.22,Gainer,
CRBP,2020-09-08,150.4,-75.89,66.9,1573073,41.5,1.83,Loser,
IMNM,2021-02-18,2411.9,75.56,39.01,8863800,10.58,7.14,Gainer,
DWTX,2022-09-20,91.4,-75.5,12.25,705360,184.11,0.41,Loser,
NERV,2022-08-04,285.6,75.37,4.7,37673200,9.19,8.21,Gainer,
XBIT,2019-12-09,68.9,75.36,16.8,4819000,8.44,8.93,Gainer,
CNTN,2022-06-13,200.4,75.32,506.25,158499,13.84,5.44,Gainer,
SVRA,2019-06-13,1224.9,-75.21,2.62,10364700,32.47,2.32,Loser,
GOSS,2022-12-06,98.3,-74.6,2.36,56500400,39.34,1.9,Loser,
SLDB,2019-11-12,483.8,-74.36,42.3,783147,43.06,1.73,Loser,
VIR,2021-01-26,1264.6,74.32,77.38,11524200,5.79,12.84,Gainer,
HELP,2020-05-22,366.7,-74.07,7.14,35,24.46,3.03,Loser,
HELP,2020-03-10,366.7,-73.98,13.01,2,14.22,5.2,Loser,
ARDX,2021-07-20,1591.5,-73.9,2.01,140815600,29.87,2.47,Loser,
VKTX,2022-12-19,3910.4,73.88,6.99,96447900,5.14,14.37,Gainer,
SAVA,2020-05-15,110.1,-73.86,2.12,47454252,55.87,1.32,Loser,
ARMP,2020-01-28,391.7,73.84,4.85,10783100,9.49,7.78,Gainer,
MSLE,2020-04-07,256.9,73.68,7.92,538,12.42,5.93,Gainer,
AKBA,2020-09-03,347.6,-73.5,2.65,81420200,35.72,2.06,Loser,
PYPD,2022-09-02,77.4,-73.47,42.9,216690,44.25,1.66,Loser,
SLS,2020-12-09,839.5,73.17,6.39,16594500,6.62,11.05,Gainer,
CABA,2021-12-14,319.6,-73.14,3.36,5253900,46.18,1.58,Loser,
PTGX,2019-12-04,5756.4,72.92,8.11,19073400,15.65,4.66,Gainer,
DRUG,2022-08-22,820.4,72.8,10.8,16551940,21.52,3.38,Gainer,
IVA,2022-10-07,1348.2,72.79,7.05,2133800,9.5,7.66,Gainer,
OCGN,2018-09-05,595.7,-72.56,45.6,242365,32.91,2.2,Loser,
KOD,2019-12-02,1636.1,72.47,51.05,5060900,8.81,8.22,Gainer,
NERV,2020-05-29,285.6,-72.46,29.68,10195913,44.99,1.61,Loser,
OCGN,2018-12-24,595.7,-72.34,7.8,423993,58.81,1.23,Loser,
VIR,2020-02-27,1264.6,72.12,60.2,6588600,8.03,8.98,Gainer,
GRCE,2020-12-23,66.4,72.0,20.64,11730008,12.21,5.9,Gainer,
ORKA,2018-02-26,1665.8,-71.88,52.28,48343,38.44,1.87,Loser,
ANAB,2019-11-08,1539.9,-71.85,10.18,17663400,29.54,2.43,Loser,
ELVN,2022-09-07,1762.0,71.79,8.04,25749275,5.31,13.51,Gainer,
HELP,2020-05-04,366.7,71.7,23.21,0,2.2,32.62,Gainer,
EOLS,2021-02-19,278.7,71.65,12.29,33762500,10.28,6.97,Gainer,
SAVA,2018-06-27,110.1,-71.45,2.43,2303572,32.1,2.23,Loser,
QIPT,2018-02-12,161.4,-71.41,1.4,35,12.49,5.72,Loser,
WHWK,2019-03-18,165.4,-71.29,18.3,450513,46.25,1.54,Loser,
ARDX,2019-09-03,1591.5,71.18,5.82,19255400,6.52,10.92,Gainer,
NVAX,2020-01-21,1647.7,71.08,9.82,55305200,5.16,13.77,Gainer,
ENTX,2021-03-12,63.7,70.79,6.9,125744500,11.14,6.36,Gainer,
LPCN,2019-11-11,55.3,-70.7,13.6,383676,37.18,1.9,Loser,
OCGN,2019-09-30,595.7,-70.68,2.85,3371900,80.05,0.88,Loser,
AXSM,2019-12-16,8383.5,70.55,79.8,9575300,6.38,11.06,Gainer,
AMRN,2020-03-31,286.9,-70.54,80.0,5789400,48.95,1.44,Loser,
CRDF,2019-10-22,130.7,70.48,1.79,51062000,11.62,6.07,Gainer,
SLDB,2020-10-01,483.8,70.44,51.9,12930873,10.49,6.71,Gainer,
LXRX,2019-07-29,614.3,-70.3,1.69,23337900,28.4,2.48,Loser,
IMUX,2018-09-18,122.7,70.24,17.16,1256805,185.42,0.38,Gainer,
TNXP,2020-03-20,178.6,70.18,620800.0,129,30.21,2.32,Gainer,
MSLE,2022-10-31,256.9,-70.15,2.4,917,23.27,3.01,Loser,
VTVT,2018-10-03,150.3,70.0,136.0,1584215,10.05,6.97,Gainer,
KPTI,2020-03-02,172.6,69.65,415.8,1250633,6.29,11.06,Gainer,
NERV,2022-10-17,285.6,-69.55,4.09,5278600,34.53,2.01,Loser,
SNDX,2020-04-28,1886.9,69.42,19.5,15078100,7.38,9.4,Gainer,
ASMB,2020-11-06,472.0,-69.37,58.44,1804192,28.45,2.44,Loser,
CBIO,2019-08-05,368.1,-69.33,-308.0,206271,-31.05,-2.23,Loser,
PRTA,2018-04-23,466.7,-68.78,11.5,15140900,32.67,2.11,Loser,
OMER,2022-07-01,854.4,68.73,4.64,13362700,8.56,8.03,Gainer,
ARCT,2021-08-03,233.8,68.06,58.25,9979100,5.61,12.14,Gainer,
SLDB,2019-02-07,483.8,-67.82,107.85,1107607,38.05,1.78,Loser,
OCGN,2021-01-04,595.7,67.76,3.07,169856700,11.77,5.76,Gainer,
SAVA,2020-06-03,110.1,67.65,3.42,79515307,28.1,2.41,Gainer,
PACB,2018-11-02,507.2,67.63,7.56,97448600,5.39,12.55,Gainer,
LPCN,2020-02-24,55.3,67.03,13.09,833018,6.11,10.97,Gainer,
NVAX,2019-02-28,1647.7,-66.67,14.2,5037395,24.51,2.72,Loser,
OCGN,2020-07-27,595.7,66.58,0.63,400540000,9.39,7.09,Gainer,
NERV,2022-08-24,285.6,66.52,7.51,82314900,12.3,5.41,Gainer,
LONA,2022-06-22,52.6,-66.27,28.5,2204090,29.21,2.27,Loser,
GRCE,2020-08-31,66.4,-66.2,11.52,1171667,32.29,2.05,Loser,
AKBA,2022-03-30,347.6,-66.02,0.83,81393300,34.87,1.89,Loser,
SYRE,2022-11-30,3378.0,-65.98,10.38,768260,42.73,1.54,Loser,
GYRE,2019-12-19,793.8,65.83,19.31,1330780,5.15,12.78,Gainer,
TNXP,2018-07-27,178.6,-65.82,86400000.0,0,32.85,2.0,Loser,
GRCE,2020-01-13,66.4,-65.14,36.48,1104935,57.17,1.14,Loser,
