ticker,event_date,move_pct,atr_pct,normalized_move,event_type,market_cap_m,match_type,catalyst_type
MSLE,2022-04-21,-96.89,314.2,0.31,Loser,256.9,unmatched,
MSLE,2022-03-23,-96.25,180.23,0.53,Loser,256.9,unmatched,
TLSA,2020-03-11,95.54,14.57,6.56,Gainer,184.5,unmatched,
MREO,2019-12-26,95.45,11.96,7.98,Gainer,59.0,unmatched,
ARVN,2020-12-14,95.06,6.23,15.25,Gainer,974.3,unmatched,
MNOV,2020-07-27,95.04,5.8,16.39,Gainer,71.3,unmatched,
VALN,2022-06-21,93.14,7.77,11.99,Gainer,963.5,unmatched,
IMUX,2018-09-12,-92.86,189.61,0.49,Loser,122.7,unmatched,
TRVI,2020-03-31,92.4,35.63,2.59,Gainer,1528.5,unmatched,
MSLE,2022-09-01,-92.31,167.0,0.55,Loser,256.9,unmatched,
TNXP,2020-02-27,92.22,13.12,7.03,Gainer,178.6,unmatched,
XTNT,2020-10-02,91.46,9.24,9.9,Gainer,79.8,unmatched,
TNXP,2020-07-20,91.36,7.13,12.81,Gainer,178.6,unmatched,
RIGL,2020-07-14,91.2,7.43,12.27,Gainer,630.6,unmatched,
IBRX,2020-01-13,91.01,10.55,8.63,Gainer,9633.0,unmatched,
ABEO,2019-09-03,90.91,9.05,10.05,Gainer,277.5,unmatched,
IMUX,2019-06-24,90.86,7.17,12.67,Gainer,122.7,unmatched,
RCUS,2020-04-16,89.35,7.73,11.55,Gainer,2520.4,unmatched,
MNKD,2018-09-04,89.09,6.01,14.82,Gainer,1007.2,unmatched,
KALA,2022-03-08,88.52,10.09,8.78,Gainer,346.3,unmatched,
NRXP,2021-05-20,88.01,16.56,5.32,Gainer,55.1,unmatched,
MIST,2020-03-24,-87.86,165.07,0.53,Loser,145.6,unmatched,
PRTA,2022-09-28,87.52,5.25,16.69,Gainer,466.7,unmatched,
VKTX,2018-09-18,87.3,7.35,11.88,Gainer,3910.4,unmatched,
IVVD,2021-11-29,86.43,8.47,10.2,Gainer,476.6,unmatched,
ACET,2019-11-15,-86.29,88.21,0.98,Loser,69.6,unmatched,
TARA,2019-03-28,-85.6,106.73,0.8,Loser,340.8,unmatched,
FBRX,2020-02-20,85.57,7.17,11.93,Gainer,378.6,unmatched,
HELP,2020-11-10,-85.1,28.56,2.98,Loser,366.7,unmatched,
TENX,2020-12-29,85.05,8.45,10.07,Gainer,74.9,unmatched,
VTVT,2018-04-18,84.87,23.71,3.58,Gainer,150.3,unmatched,
NGNE,2018-06-27,-84.72,58.62,1.45,Loser,363.9,unmatched,
ACHV,2019-02-22,84.36,7.94,10.63,Gainer,242.7,unmatched,
INDV,2022-11-23,-84.06,31.83,2.64,Loser,4090.8,unmatched,
